attempt,timeLapsed,x,y,z,,,,,,,,,,
2,3,0,4,0,,,,,,,,,,
2,4,0,6.12125,2.12125,,der,d2,der,d2,,Df in der,,7.528037077,
2,5,0,8.1216750389,3.2794526345,,2.0004250389,,1.1582026345,,,,,9.7702593864,2.2422223094
2,6,0,10.0036916137,4.3334170623,,1.8820165748,-0.1184084641,1.0539644278,-0.1042382067,,-0.0141702574,,11.8606426851,2.0903832986
2,7,0,11.7696678914,5.2925247193,,1.7659762777,-0.1160402971,0.9591076569,-0.0948567709,,-0.0211835263,,13.8058562149,1.9452135299
2,8,0,13.4219246756,6.1653127122,,1.6522567843,-0.1137194934,0.872787993,-0.086319664,,-0.0273998294,,15.6120633228,1.8062071079
2,9,0,14.9627363542,6.9595498087,,1.5408116786,-0.1114451057,0.7942370965,-0.0785508965,,-0.0328942092,,17.2849487478,1.672885425
2,10,0,16.3943318271,7.6823055873,,1.4315954729,-0.1092162057,0.7227557786,-0.0714813179,,-0.0377348879,,18.8297632044,1.5448144567
2,11,0,17.7188954162,8.3400133649,,1.3245635892,-0.1070318837,0.6577077775,-0.0650480011,,-0.0419838826,,20.2513688402,1.4216056358
2,12,0,18.9385677574,8.9385274596,,1.2196723411,-0.104891248,0.5985140948,-0.0591936827,,-0.0456975653,,21.554281676,1.3029128358
2,13,0,20.0554466734,9.4831753016,,1.1168789161,-0.1027934251,0.544647842,-0.0538662528,,-0.0489271723,,22.7427101681,1.1884284922
2,14,0,21.0715880309,9.9788048521,,1.0161413575,-0.1007375585,0.4956295505,-0.0490182915,,-0.0517192671,,23.82058991,1.0778797419
2,15,0,21.9890065791,10.429827756,,0.9174185482,-0.0987228093,0.4510229039,-0.0446066465,,-0.0541161628,,24.7916147669,0.9710248569
2,16,0,22.8096767724,10.8402586104,,0.8206701932,-0.096748355,0.4104308544,-0.0405920495,,-0.0561563055,,25.6592648199,0.8676500529
2,17,0,23.5355335759,11.2137506986,,0.7258568035,-0.0948133897,0.3734920883,-0.0369387661,,-0.0578746236,,26.4268315079,0.767566688
2,18,0,24.1684732556,11.5536285087,,0.6329396797,-0.0929171238,0.3398778101,-0.0336142781,,-0.0593028456,,27.0974403453,0.6706088374
2,19,0,24.7103541523,11.8629173249,,0.5418808967,-0.091058783,0.3092888161,-0.030588994,,-0.0604697891,,27.6740715723,0.576631227
2,20,0,25.1629974398,12.1443701556,,0.4526432876,-0.0892376091,0.2814528308,-0.0278359853,,-0.0614016238,,28.1595790779,0.4855075056
2,21,0,25.5281878687,12.400492239,,0.3651904289,-0.0874528586,0.2561220834,-0.0253307474,,-0.0621221113,,28.5567079181,0.3971288402
2,22,0,25.8076744945,12.6335633416,,0.2794866258,-0.0857038031,0.2330711026,-0.0230509808,,-0.0626528224,,28.868110741,0.3114028229
2,23,0,26.0031713916,12.8456580511,,0.1954968971,-0.0839897287,0.2120947095,-0.0209763931,,-0.0630133356,,29.096363427,0.228252686
2,24,0,26.1163583529,13.0386642423,,0.1131869613,-0.0823099357,0.1930061912,-0.0190885183,,-0.0632214174,,29.2439802542,0.1476168272
2,25,0,26.1488815756,13.2142998813,,0.0325232227,-0.0806637386,0.175635639,-0.0173705521,,-0.0632931864,,29.3134289113,0.0694486571
2,26,0,26.102354333,13.3741283175,,-0.0465272426,-0.0790504654,0.1598284361,-0.0158072029,,-0.0632432625,,29.3071457038,-0.0062832075
2,27,0,25.9783576328,13.5195721985,,-0.1239967002,-0.0774694576,0.1454438811,-0.0143845551,,-0.0630849025,,29.2275513338,-0.07959437
2,28,0,25.7784408628,13.6519261341,,-0.1999167701,-0.0759200699,0.1323539356,-0.0130899455,,-0.0628301244,,29.0770676866,-0.1504836472
2,29,0,25.5041224227,13.772368219,,-0.27431844,-0.0744016699,0.1204420849,-0.0119118507,,-0.0624898192,,28.858136127,-0.2189315595
2,30,0,25.1568903448,13.8819705194,,-0.347232078,-0.072913638,0.1096023004,-0.0108397845,,-0.0620738535,,28.5732379072,-0.2848982199
2,31,0,24.7382029002,13.9817086156,,-0.4186874446,-0.0714553666,0.0997380962,-0.0098642042,,-0.0615911624,,28.224917413,-0.3483204942
2,32,0,24.249489195,14.0724702858,,-0.4887137052,-0.0700262606,0.0907616702,-0.008976426,,-0.0610498346,,27.8158091496,-0.4091082634
2,33,0,23.6921497531,14.155063408,,-0.5573394419,-0.0686257367,0.0825931222,-0.0081685479,,-0.0604571888,,27.3486695834,-0.4671395662
2,34,0,23.0675570879,14.2302231514,,-0.6245926652,-0.0672532233,0.0751597434,-0.0074333788,,-0.0598198445,,26.8264152486,-0.5222543348
2,35,0,22.3770562625,14.2986185199,,-0.6905008254,-0.0659081601,0.0683953685,-0.0067643749,,-0.0591437852,,26.2521688948,-0.5742463537
2,36,0,21.6219654389,14.360858307,,-0.7550908236,-0.0645899982,0.0622397871,-0.0061555814,,-0.0584344168,,25.6293159266,-0.6228529683
2,37,0,20.8035764159,14.4174965149,,-0.818389023,-0.0632981995,0.0566382079,-0.0056015792,,-0.0576966202,,24.9615739764,-0.6677419502
2,38,0,19.9231551562,14.4690372856,,-0.8804212597,-0.0620322367,0.0515407707,-0.0050974372,,-0.0569347994,,24.2530791843,-0.708494792
2,39,0,18.9819423034,14.5159393882,,-0.9412128528,-0.0607915931,0.0469021027,-0.004638668,,-0.0561529251,,23.5084936087,-0.7445855756
2,40,0,17.9811536882,14.5586203029,,-1.0007886152,-0.0595757624,0.0426809147,-0.004221188,,-0.0553545744,,22.7331391258,-0.7753544829
2,41,0,16.9219808246,14.5974599363,,-1.0591728636,-0.0583842483,0.0388396335,-0.0038412812,,-0.0545429671,,21.9331640384,-0.7999750874
2,42,0,15.8055913966,14.6328040038,,-1.116389428,-0.0572165645,0.0353440675,-0.003495566,,-0.0537209985,,21.1157490708,-0.8174149676
2,43,0,14.6331297343,14.6649671061,,-1.1724616623,-0.0560722343,0.0321631023,-0.0031809651,,-0.0528912691,,20.2893588085,-0.8263902623
2,44,0,13.4057172814,14.6942355301,,-1.2274124529,-0.0549507906,0.029268424,-0.0028946784,,-0.0520561123,,19.4640416618,-0.8253171466
2,45,0,12.1244530526,14.7208697966,,-1.2812642288,-0.0538517759,0.0266342666,-0.0026341574,,-0.0512176185,,18.6517738821,-0.8122677797
2,46,0,10.7904140825,14.7451069799,,-1.3340389702,-0.0527747414,0.0242371833,-0.0023970833,,-0.0503776581,,17.8668275475,-0.7849463346
2,47,0,9.4046558647,14.7671628173,,-1.3857582177,-0.0517192476,0.0220558374,-0.0021813459,,-0.0495379017,,17.1261141452,-0.7407134023
2,48,0,7.9682127834,14.7872336299,,-1.4364430813,-0.0506848636,0.0200708126,-0.0019850248,,-0.0486998388,,16.4494103048,-0.6767038404
2,49,0,6.4820985347,14.8054980699,,-1.4861142486,-0.0496711673,0.01826444,-0.0018063726,,-0.0478647947,,15.859312042,-0.5900982627
2,50,0,4.9473065412,14.8221187108,,-1.5347919935,-0.0486777449,0.0166206409,-0.0016437991,,-0.0470339458,,4.4485083078,-11.4108037342
3,3,0,4,0,,,,,,,,,,
3,4,0,6.12125,2.12125,,,,,,,,,,
3,5,0,8.1216750389,3.2794526345,,,,,,,,,,
3,6,0,10.0036916137,4.3334170623,,,,,,,,,,
3,7,0,11.7696678914,5.2925247193,,,,,,,,,,
3,8,0,13.4219246756,6.1653127122,,,,,,,,,,
3,9,0,14.9627363542,6.9595498087,,,,,,,,,,
3,10,0,16.3943318271,7.6823055873,,,,,,,,,,
3,11,0,17.7188954162,8.3400133649,,,,,,,,,,
3,12,0,18.9385677574,8.9385274596,,,,,,,,,,
3,13,0,20.0554466734,9.4831753016,,,,,,,,,,
3,14,0,21.0715880309,9.9788048521,,,,,,,,,,
3,15,0,21.9890065791,10.429827756,,,,,,,,,,
3,16,0,22.8096767724,10.8402586104,,,,,,,,,,
3,17,0,23.5355335759,11.2137506986,,,,,,,,,,
3,18,0,24.1684732556,11.5536285087,,,,,,,,,,
3,19,0,24.7103541523,11.8629173249,,,,,,,,,,
3,20,0,25.1629974398,12.1443701556,,,,,,,,,,
3,21,0,25.5281878687,12.400492239,,,,,,,,,,
3,22,0,25.8076744945,12.6335633416,,,,,,,,,,
3,23,0,26.0031713916,12.8456580511,,,,,,,,,,
3,24,0,26.1163583529,13.0386642423,,,,,,,,,,
3,25,0,26.1488815756,13.2142998813,,,,,,,,,,
3,26,0,26.102354333,13.3741283175,,,,,,,,,,
3,27,0,25.9783576328,13.5195721985,,,,,,,,,,
3,28,0,25.7784408628,13.6519261341,,,,,,,,,,
3,29,0,25.5041224227,13.772368219,,,,,,,,,,
3,30,0,25.1568903448,13.8819705194,,,,,,,,,,
3,31,0,24.7382029002,13.9817086156,,,,,,,,,,
3,32,0,24.249489195,14.0724702858,,,,,,,,,,
3,33,0,23.6921497531,14.155063408,,,,,,,,,,
3,34,0,23.0675570879,14.2302231514,,,,,,,,,,
3,35,0,22.3770562625,14.2986185199,,,,,,,,,,
3,36,0,21.6219654389,14.360858307,,,,,,,,,,
3,37,0,20.8035764159,14.4174965149,,,,,,,,,,
3,38,0,19.9231551562,14.4690372856,,,,,,,,,,
3,39,0,18.9819423034,14.5159393882,,,,,,,,,,
3,40,0,17.9811536882,14.5586203029,,,,,,,,,,
3,41,0,16.9219808246,14.5974599363,,,,,,,,,,
3,42,0,15.8055913966,14.6328040038,,,,,,,,,,
3,43,0,14.6331297343,14.6649671061,,,,,,,,,,
3,44,0,13.4057172814,14.6942355301,,,,,,,,,,
3,45,0,12.1244530526,14.7208697966,,,,,,,,,,
3,46,0,10.7904140825,14.7451069799,,,,,,,,,,
3,47,0,9.4046558647,14.7671628173,,,,,,,,,,
3,48,0,7.9682127834,14.7872336299,,,,,,,,,,
3,49,0,6.4820985347,14.8054980699,,,,,,,,,,
3,50,0,4.9473065412,14.8221187108,,,,,,,,,,
4,3,0,4,0,,,,,,,,,,
4,4,0,6.12125,2.12125,,,,,,,,,,
4,5,0,8.1216750389,3.2794526345,,,,,,,,,,
4,6,0,10.0036916137,4.3334170623,,,,,,,,,,
4,7,0,11.7696678914,5.2925247193,,,,,,,,,,
4,8,0,13.4219246756,6.1653127122,,,,,,,,,,
4,9,0,14.9627363542,6.9595498087,,,,,,,,,,
4,10,0,16.3943318271,7.6823055873,,,,,,,,,,
4,11,0,17.7188954162,8.3400133649,,,,,,,,,,
4,12,0,18.9385677574,8.9385274596,,,,,,,,,,
4,13,0,20.0554466734,9.4831753016,,,,,,,,,,
4,14,0,21.0715880309,9.9788048521,,,,,,,,,,
4,15,0,21.9890065791,10.429827756,,,,,,,,,,
4,16,0,22.8096767724,10.8402586104,,,,,,,,,,
4,17,0,23.5355335759,11.2137506986,,,,,,,,,,
4,18,0,24.1684732556,11.5536285087,,,,,,,,,,
4,19,0,24.7103541523,11.8629173249,,,,,,,,,,
4,20,0,25.1629974398,12.1443701556,,,,,,,,,,
4,21,0,25.5281878687,12.400492239,,,,,,,,,,
4,22,0,25.8076744945,12.6335633416,,,,,,,,,,
4,23,0,26.0031713916,12.8456580511,,,,,,,,,,
4,24,0,26.1163583529,13.0386642423,,,,,,,,,,
4,25,0,26.1488815756,13.2142998813,,,,,,,,,,
4,26,0,26.102354333,13.3741283175,,,,,,,,,,
4,27,0,25.9783576328,13.5195721985,,,,,,,,,,
4,28,0,25.7784408628,13.6519261341,,,,,,,,,,
4,29,0,25.5041224227,13.772368219,,,,,,,,,,
4,30,0,25.1568903448,13.8819705194,,,,,,,,,,
4,31,0,24.7382029002,13.9817086156,,,,,,,,,,
4,32,0,24.249489195,14.0724702858,,,,,,,,,,
4,33,0,23.6921497531,14.155063408,,,,,,,,,,
4,34,0,23.0675570879,14.2302231514,,,,,,,,,,
4,35,0,22.3770562625,14.2986185199,,,,,,,,,,
4,36,0,21.6219654389,14.360858307,,,,,,,,,,
4,37,0,20.8035764159,14.4174965149,,,,,,,,,,
4,38,0,19.9231551562,14.4690372856,,,,,,,,,,
4,39,0,18.9819423034,14.5159393882,,,,,,,,,,
4,40,0,17.9811536882,14.5586203029,,,,,,,,,,
4,41,0,16.9219808246,14.5974599363,,,,,,,,,,
4,42,0,15.8055913966,14.6328040038,,,,,,,,,,
4,43,0,14.6331297343,14.6649671061,,,,,,,,,,
4,44,0,13.4057172814,14.6942355301,,,,,,,,,,
4,45,0,12.1244530526,14.7208697966,,,,,,,,,,
4,46,0,10.7904140825,14.7451069799,,,,,,,,,,
4,47,0,9.4046558647,14.7671628173,,,,,,,,,,
4,48,0,7.9682127834,14.7872336299,,,,,,,,,,
4,49,0,6.4820985347,14.8054980699,,,,,,,,,,
4,50,0,4.9473065412,14.8221187108,,,,,,,,,,
5,3,0,4,0,,,,,,,,,,
5,4,0,6.12125,2.12125,,,,,,,,,,
5,5,0,8.1216750389,3.2794526345,,,,,,,,,,
5,6,0,10.0036916137,4.3334170623,,,,,,,,,,
5,7,0,11.7696678914,5.2925247193,,,,,,,,,,
5,8,0,13.4219246756,6.1653127122,,,,,,,,,,
5,9,0,14.9627363542,6.9595498087,,,,,,,,,,
5,10,0,16.3943318271,7.6823055873,,,,,,,,,,
5,11,0,17.7188954162,8.3400133649,,,,,,,,,,
5,12,0,18.9385677574,8.9385274596,,,,,,,,,,
5,13,0,20.0554466734,9.4831753016,,,,,,,,,,
5,14,0,21.0715880309,9.9788048521,,,,,,,,,,
5,15,0,21.9890065791,10.429827756,,,,,,,,,,
5,16,0,22.8096767724,10.8402586104,,,,,,,,,,
5,17,0,23.5355335759,11.2137506986,,,,,,,,,,
5,18,0,24.1684732556,11.5536285087,,,,,,,,,,
5,19,0,24.7103541523,11.8629173249,,,,,,,,,,
5,20,0,25.1629974398,12.1443701556,,,,,,,,,,
5,21,0,25.5281878687,12.400492239,,,,,,,,,,
5,22,0,25.8076744945,12.6335633416,,,,,,,,,,
5,23,0,26.0031713916,12.8456580511,,,,,,,,,,
5,24,0,26.1163583529,13.0386642423,,,,,,,,,,
5,25,0,26.1488815756,13.2142998813,,,,,,,,,,
5,26,0,26.102354333,13.3741283175,,,,,,,,,,
5,27,0,25.9783576328,13.5195721985,,,,,,,,,,
5,28,0,25.7784408628,13.6519261341,,,,,,,,,,
5,29,0,25.5041224227,13.772368219,,,,,,,,,,
5,30,0,25.1568903448,13.8819705194,,,,,,,,,,
5,31,0,24.7382029002,13.9817086156,,,,,,,,,,
5,32,0,24.249489195,14.0724702858,,,,,,,,,,
5,33,0,23.6921497531,14.155063408,,,,,,,,,,
5,34,0,23.0675570879,14.2302231514,,,,,,,,,,
5,35,0,22.3770562625,14.2986185199,,,,,,,,,,
5,36,0,21.6219654389,14.360858307,,,,,,,,,,
5,37,0,20.8035764159,14.4174965149,,,,,,,,,,
5,38,0,19.9231551562,14.4690372856,,,,,,,,,,
5,39,0,18.9819423034,14.5159393882,,,,,,,,,,
5,40,0,17.9811536882,14.5586203029,,,,,,,,,,
5,41,0,16.9219808246,14.5974599363,,,,,,,,,,
5,42,0,15.8055913966,14.6328040038,,,,,,,,,,
5,43,0,14.6331297343,14.6649671061,,,,,,,,,,
5,44,0,13.4057172814,14.6942355301,,,,,,,,,,
5,45,0,12.1244530526,14.7208697966,,,,,,,,,,
5,46,0,10.7904140825,14.7451069799,,,,,,,,,,
5,47,0,9.4046558647,14.7671628173,,,,,,,,,,
5,48,0,7.9682127834,14.7872336299,,,,,,,,,,
5,49,0,6.4820985347,14.8054980699,,,,,,,,,,
5,50,0,4.9473065412,14.8221187108,,,,,,,,,,
6,3,0,4,0,,,,,,,,,,
6,4,0,6.12125,2.12125,,,,,,,,,,
6,5,0,8.1216750389,3.2794526345,,,,,,,,,,
6,6,0,10.0036916137,4.3334170623,,,,,,,,,,
6,7,0,11.7696678914,5.2925247193,,,,,,,,,,
6,8,0,13.4219246756,6.1653127122,,,,,,,,,,
6,9,0,14.9627363542,6.9595498087,,,,,,,,,,
6,10,0,16.3943318271,7.6823055873,,,,,,,,,,
6,11,0,17.7188954162,8.3400133649,,,,,,,,,,
6,12,0,18.9385677574,8.9385274596,,,,,,,,,,
6,13,0,20.0554466734,9.4831753016,,,,,,,,,,
6,14,0,21.0715880309,9.9788048521,,,,,,,,,,
6,15,0,21.9890065791,10.429827756,,,,,,,,,,
6,16,0,22.8096767724,10.8402586104,,,,,,,,,,
6,17,0,23.5355335759,11.2137506986,,,,,,,,,,
6,18,0,24.1684732556,11.5536285087,,,,,,,,,,
6,19,0,24.7103541523,11.8629173249,,,,,,,,,,
6,20,0,25.1629974398,12.1443701556,,,,,,,,,,
6,21,0,25.5281878687,12.400492239,,,,,,,,,,
6,22,0,25.8076744945,12.6335633416,,,,,,,,,,
6,23,0,26.0031713916,12.8456580511,,,,,,,,,,
6,24,0,26.1163583529,13.0386642423,,,,,,,,,,
6,25,0,26.1488815756,13.2142998813,,,,,,,,,,
6,26,0,26.102354333,13.3741283175,,,,,,,,,,
6,27,0,25.9783576328,13.5195721985,,,,,,,,,,
6,28,0,25.7784408628,13.6519261341,,,,,,,,,,
6,29,0,25.5041224227,13.772368219,,,,,,,,,,
6,30,0,25.1568903448,13.8819705194,,,,,,,,,,
6,31,0,24.7382029002,13.9817086156,,,,,,,,,,
6,32,0,24.249489195,14.0724702858,,,,,,,,,,
6,33,0,23.6921497531,14.155063408,,,,,,,,,,
6,34,0,23.0675570879,14.2302231514,,,,,,,,,,
6,35,0,22.3770562625,14.2986185199,,,,,,,,,,
6,36,0,21.6219654389,14.360858307,,,,,,,,,,
6,37,0,20.8035764159,14.4174965149,,,,,,,,,,
6,38,0,19.9231551562,14.4690372856,,,,,,,,,,
6,39,0,18.9819423034,14.5159393882,,,,,,,,,,
6,40,0,17.9811536882,14.5586203029,,,,,,,,,,
6,41,0,16.9219808246,14.5974599363,,,,,,,,,,
6,42,0,15.8055913966,14.6328040038,,,,,,,,,,
6,43,0,14.6331297343,14.6649671061,,,,,,,,,,
6,44,0,13.4057172814,14.6942355301,,,,,,,,,,
6,45,0,12.1244530526,14.7208697966,,,,,,,,,,
6,46,0,10.7904140825,14.7451069799,,,,,,,,,,
6,47,0,9.4046558647,14.7671628173,,,,,,,,,,
6,48,0,7.9682127834,14.7872336299,,,,,,,,,,
6,49,0,6.4820985347,14.8054980699,,,,,,,,,,
6,50,0,4.9473065412,14.8221187108,,,,,,,,,,
