attempt,timeLapsed,x,y,z,,vel,roc,,,,,,
2,9,0,204,0,,,,,,,,Grav,Drag
2,10,0,203.9215999985,0,,-0.0784000015,-0.0784000015,1.0204081434,,-0.08,,-0.08/tick,*.98/tick
2,11,0,203.766367994,0,,-0.1552320045,0.076832003,1.0204081434,,0.0784000015,,,
2,12,0,203.535840625,0,,-0.2305273689,0.0752953644,1.0204081434,,,,,
2,13,0,203.2315237976,0,,-0.3043168275,0.0737894585,1.0204081434,,,,,
2,14,0,202.8548932993,0,,-0.3766304982,0.0723136708,1.0204081434,,,,,
2,15,0,202.4073954024,0,,-0.447497897,0.0708673987,1.0204081434,,,,,
2,16,0,201.8904474533,0,,-0.5169479491,0.0694500521,1.0204081434,,,,,
2,17,0,201.3054384518,0,,-0.5850090015,0.0680610524,1.0204081434,,,,,
2,18,0,200.6537296176,0,,-0.6517088342,0.0666998327,1.0204081434,,,,,
2,19,0,199.9366549462,0,,-0.7170746714,0.0653658373,0.9800000191,,,,,
2,20,0,199.1555217529,0,,-0.7811331932,0.0640585218,1.0204081434,,,,,
2,21,0,198.3116112072,0,,-0.8439105458,0.0627773526,1.0204081434,,,,,
2,22,0,197.4061788547,0,,-0.9054323525,0.0615218067,1.0204081434,,,,,
2,23,0,196.4404551305,0,,-0.9657237242,0.0602913717,1.0204081434,,,,,
2,24,0,195.4156458608,0,,-1.0248092697,0.0590855455,1.0204081434,,,,,
2,25,0,194.3329327554,0,,-1.0827131054,0.0579038357,1.0204081434,,,,,
2,26,0,193.19347389,0,,-1.1394588654,0.0567457601,1.0204081434,,,,,
2,27,0,191.9984041786,0,,-1.1950697114,0.055610846,1.0204081434,,,,,
2,28,0,190.7488358371,0,,-1.2495683415,0.0544986301,1.0204081434,,,,,
2,29,0,189.4458588371,0,,-1.302977,0.0534086585,1.0204081434,,,,,
2,30,0,188.0905413507,0,,-1.3553174864,0.0523404864,1.0204081434,,,,,
2,31,0,186.6839301867,0,,-1.406611164,0.0512936776,1.0204081434,,,,,
2,32,0,185.2270512176,0,,-1.4568789691,0.0502678051,1.0204081434,,,,,
2,33,0,183.7209097986,0,,-1.506141419,0.0492624499,1.0204081434,,,,,
2,34,0,182.1664911777,0,,-1.5544186209,0.0482772019,1.0204081434,,,,,
2,35,0,180.564760898,0,,-1.6017302797,0.0473116588,1.0204081434,,,,,
2,36,0,178.9166651918,0,,-1.6480957062,0.0463654265,1.0204081434,,,,,
2,37,0,177.2231313668,0,,-1.693533825,0.0454381188,1.0204081434,,,,,
2,38,0,175.4850681845,0,,-1.7380631823,0.0445293573,1.0204081434,,,,,
2,39,0,173.7033662312,0,,-1.7817019533,0.043638771,1.0204081434,,,,,
2,40,0,171.8788982814,0,,-1.8244679498,0.0427659964,1.0204081434,,,,,
2,41,0,170.0125196543,0,,-1.8663786271,0.0419106773,1.0204081434,,,,,
2,42,0,168.1050685626,0,,-1.9074510917,0.0410724646,1.0204081434,,,,,
2,43,0,166.1573664548,0,,-1.9477021078,0.0402510161,1.0204081434,,,,,
2,44,0,164.1702183505,0,,-1.9871481043,0.0394459965,1.0204081434,,,,,
2,45,0,162.1444131689,0,,-2.0258051816,0.0386570773,1.0204081434,,,,,
2,46,0,160.0807240507,0,,-2.0636891182,0.0378839365,1.0204081434,,,,,
2,47,0,157.979908674,0,,-2.1008153767,0.0371262585,1.0204081434,,,,,
2,48,0,155.8427095633,0,,-2.1371991108,0.0363837341,1.0204081434,,,,,
2,49,0,153.6698543924,0,,-2.1728551708,0.0356560601,1.0204081434,,,,,
2,50,0,151.4620562821,0,,-2.2077981104,0.0349429396,1.0204081434,,,,,
2,51,0,149.2200140902,0,,-2.2420421918,0.0342440814,1.0204081434,,,,,
2,52,0,146.944412698,0,,-2.2756013923,0.0335592005,1.0204081434,,,,,
2,53,0,144.6359232886,0,,-2.3084894093,0.0328880171,1.0204081434,,,,,
2,54,0,142.2952036219,0,,-2.3407196667,0.0322302574,1.0204081434,,,,,
2,55,0,139.9228983024,0,,-2.3723053196,0.0315856528,1.0204081434,,,,,
2,56,0,137.5196390424,0,,-2.4032592599,0.0309539404,1.0204081434,,,,,
2,57,0,135.0860449203,0,,-2.4335941221,0.0303348622,1.0204081434,,,,,
2,58,0,132.6227226327,0,,-2.4633222876,0.0297281655,1.0204081434,,,,,
2,59,0,130.1302667424,0,,-2.4924558904,0.0291336028,1.0204081434,,,,,
2,60,0,127.6092599207,0,,-2.5210068216,0.0285509313,1.0204081434,,,,,
2,61,0,125.0602731859,0,,-2.5489867348,0.0279799132,1.0204081434,,,,,
2,62,0,122.4838661357,0,,-2.5764070502,0.0274203154,1.0204081434,,,,,
2,63,0,119.8805871758,0,,-2.6032789599,0.0268719097,1.0204081434,,,,,
2,64,0,117.2509737439,0,,-2.6296134319,0.026334472,1.0204081434,,,,,
2,65,0,114.595552529,0,,-2.6554212149,0.025807783,1.0204081434,,,,,
2,66,0,111.9148396862,0,,-2.6807128428,0.0252916279,1.0204081434,,,,,
2,67,0,109.2093410475,0,,-2.7054986386,0.0247857958,1.0204081434,,,,,
2,68,0,106.4795523286,0,,-2.729788719,0.0242900804,1.0204081434,,,,,
2,69,0,103.7259593304,0,,-2.7535929982,0.0238042792,1.0204081434,,,,,
2,70,0,100.9490381381,0,,-2.7769211923,0.0233281941,1.0204081434,,,,,
2,71,0,98.1492553152,0,,-2.7997828229,0.0228616306,1.0204081434,,,,,
2,72,0,95.3270680939,0,,-2.8221872214,0.0224043985,1.0204081434,,,,,
2,73,0,92.4829245615,0,,-2.8441435323,0.0219563109,1.0204081434,,,,,
2,74,0,89.6172638441,0,,-2.8656607174,0.0215171851,1.0204081434,,,,,
2,75,0,86.7305162848,0,,-2.8867475593,0.0210868418,1.0204081434,,,,,
2,76,0,83.8231036202,0,,-2.9074126647,0.0206651054,1.0204081434,,,,,
2,77,0,80.8954391518,0,,-2.9276644684,0.0202518037,1.0204081434,,,,,
