series,t,x,y,z
1,1,0,4,0
1,2,0,6.12125,2.12125
1,3,0,8.1216750389,3.2794526345
1,4,0,10.0036916137,4.3334170623
1,5,0,11.7696678914,5.2925247193
1,6,0,13.4219246756,6.1653127122
1,7,0,14.9627363542,6.9595498087
1,8,0,16.3943318271,7.6823055873
1,9,0,17.7188954162,8.3400133649
1,10,0,18.9385677574,8.9385274596
1,11,0,20.0554466734,9.4831753016
1,12,0,21.0715880309,9.9788048521
1,13,0,21.9890065791,10.429827756
1,14,0,22.8096767724,10.8402586104
1,15,0,23.5355335759,11.2137506986
1,16,0,24.1684732556,11.5536285087
1,17,0,24.7103541523,11.8629173249
1,18,0,25.1629974398,12.1443701556
1,19,0,25.5281878687,12.400492239
1,20,0,25.8076744945,12.6335633416
1,21,0,26.0031713916,12.8456580511
1,22,0,26.1163583529,13.0386642423
1,23,0,26.1488815756,13.2142998813
1,24,0,26.102354333,13.3741283175
1,25,0,25.9783576328,13.5195721985
1,26,0,25.7784408628,13.6519261341
1,27,0,25.5041224227,13.772368219
1,28,0,25.1568903448,13.8819705194
1,29,0,24.7382029002,13.9817086156
1,30,0,24.249489195,14.0724702858
1,31,0,23.6921497531,14.155063408
1,32,0,23.0675570879,14.2302231514
1,33,0,22.3770562625,14.2986185199
1,34,0,21.6219654389,14.360858307
1,35,0,20.8035764159,14.4174965149
1,36,0,19.9231551562,14.4690372856
1,37,0,18.9819423034,14.5159393882
1,38,0,17.9811536882,14.5586203029
1,39,0,16.9219808246,14.5974599363
1,40,0,15.8055913966,14.6328040038
1,41,0,14.6331297343,14.6649671061
1,42,0,13.4057172814,14.6942355301
1,43,0,12.1244530526,14.7208697966
1,44,0,10.7904140825,14.7451069799
1,45,0,9.4046558647,14.7671628173
1,46,0,7.9682127834,14.7872336299
1,47,0,6.4820985347,14.8054980699
1,48,0,4.9473065412,14.8221187108
2,1,0,4,0
2,2,0,5.341625,2.68325
2,3,0,6.5780175241,4.1483046702
2,4,0,7.7112822197,5.4815044584
2,5,0,8.7434816415,6.6947163007
2,6,0,9.6766370931,7.7987391091
2,7,0,10.5127294518,8.8033998936
2,8,0,11.2536999779,9.7176412338
2,9,0,11.901451106,10.5496008774
2,10,0,12.4578472224,11.3066841749
2,11,0,12.9247154255,11.9956299955
2,12,0,13.303846272,12.6225707103
2,13,0,13.5969945072,13.1930867772
2,14,0,13.8058797818,13.7122564131
2,15,0,13.9321873533,14.1847007953
2,16,0,13.9775687744,14.6146251956
2,17,0,13.9436425663,15.005856411
2,18,0,13.8319948802,15.3618768274
2,19,0,13.6441801442,15.6858554156
2,20,0,13.3817216978,15.9806759394
2,21,0,13.0461124138,16.2489626237
2,22,0,12.6388153075,16.4931035135
2,23,0,12.1612641341,16.7152717297
2,24,0,11.6148639735,16.9174448122
2,25,0,11.0009918042,17.1014223226
2,26,0,10.320997065,17.2688418618
2,27,0,9.5762022062,17.421193647
2,28,0,8.7679032287,17.5598337754
2,29,0,7.8973702139,17.685996296
2,30,0,6.9658478412,17.800804193
2,31,0,5.9745558967,17.9052793822
2,32,0,4.9246897707,18.0003518072
3,1,0,4,0
3,2,0,6.68325,1.341625
3,3,0,9.2344350497,2.0741523351
3,4,0,11.6561964454,2.7407522292
3,5,0,13.951122658,3.3473581504
3,6,0,16.1217503885,3.8993695545
